ID Sire Dam sex
1 379 378 M
44 342 332 M
62 75 72 F
69 33 10 F
77 27 7 F
78 20 26 F
79 25 73 F
83 49 30 F
86 71 85 M
87 18 47 F
88 34 50 F
89 14 13 F
90 60 61 F
91 43 53 F
92 67 46 F
93 45 48 F
94 28 35 F
95 6 52 M
96 19 37 F
97 21 24 M
98 36 59 M
99 23 82 M
100 76 51 F
101 84 39 M
102 12 80 M
103 9 81 M
105 32 68 M
106 202 164 F
107 38 66 M
108 8 63 M
110 31 65 M
117 352 373 M
123 111 115 M
134 109 114 M
166 133 135 M
203 163 118 F
204 173 181 F
207 162 155 F
212 138 127 F
213 168 165 F
214 159 154 M
215 125 113 F
216 170 158 M
217 112 153 M
218 178 140 F
219 188 182 M
220 177 185 F
221 184 139 F
222 183 160 M
223 187 191 F
225 150 132 M
227 195 194 M
228 116 144 M
229 201 196 M
233 206 208 M
234 193 122 F
235 156 157 M
241 209 130 M
242 4 142 M
266 149 265 F
269 232 169 F
270 198 180 M
273 308 210 F
274 245 143 M
275 148 126 F
278 246 247 F
280 257 119 M
281 252 231 F
282 262 230 F
283 260 261 F
284 259 172 F
285 272 146 F
286 199 161 F
287 5 129 F
289 253 251 F
290 255 224 F
291 243 263 F
292 318 152 F
293 120 256 F
294 244 136 M
295 254 145 F
296 128 237 F
297 238 236 F
298 200 211 F
299 250 190 M
300 248 205 M
301 186 176 M
302 239 240 F
303 264 279 M
304 288 276 M
305 3 271 M
306 277 258 M
307 11 74 M
327 312 310 F
338 319 314 F
368 311 336 F
370 317 323 F
371 343 316 F
377 355 315 F
380 322 309 F
381 346 321 M
382 358 344 F
383 328 340 F
384 331 320 M
385 329 365 F
386 325 326 M
388 2 387 F
389 367 360 M
390 356 350 F
391 354 313 F
392 351 334 M
393 361 349 M
394 348 324 F
395 335 333 F
396 345 374 F
397 372 366 F
398 364 337 M
399 357 376 M
400 353 339 F
401 330 362 M
402 167 121 F
403 151 131 M
404 226 137 M
405 264 268 F
406 267 249 F
407 42 17 F
408 192 124 M
409 141 179 M
410 29 16 F
411 197 147 F
412 171 189 M
413 40 70 M
414 41 64 F
415 359 341 M
416 54 57 M
417 56 55 M
418 363 347 M
419 369 375 M
420 22 58 F
421 174 175 F
104 15 77 F
